Asset ID,Asset Class,Park ID,Park Name,Asset Type,Asset Size,Primary Field,Location,Installation Date,Asset Description,Geometry Type,Point,Line,Polygon
37717,MONUMENT,345,Kildonan Park,STATUE,N/A,N/A,"(49.94403130270393, -97.10469750214767)",,Commemoration of Chief Peguis,POINT,POINT (-97.104697502148 49.944031302704),,
35066,SEATING,552,Kern Park,PLAYERS BENCH,N/A,N/A,"(49.899651384496124, -96.99845297394862)",,,POINT,POINT (-96.998452973949 49.899651384496),,
107172,SEATING,260,Optimist Park,BENCH,N/A,N/A,"(49.91076755394121, -97.3054822631704)",,,POINT,POINT (-97.30548226317 49.910767553941),,
603,ATHLETIC FIELD,552,Kern Park,BASEBALL,YOUTH,Yes,"(49.899331597923265, -96.99865290980836)",,,POLYGON,,,"MULTIPOLYGON (((-96.999031210548 49.899567134953, -96.999012094328 49.899511398073, -96.99898815001 49.899457558502, -96.998959563178 49.89940603353, -96.998926555397 49.899357222506, -96.998889382497 49.899311503744, -96.99884833259 49.899269231592, -96.998803723837 49.899230733684, -96.998758177293 49.899197805417, -96.998710028717 49.899168814502, -96.99865961762 49.899143965361, -96.998607299464 49.899123433213, -96.99855344316 49.899107362836, -96.998498428464 49.899095867547, -96.998442643299 49.899089028402, -96.998386481023 49.899086893626, -96.998330337652 49.899089478272, -96.998274609068 49.899096764116, -96.998288806024 49.89957630759, -96.999031210548 49.899567134953)))"
133375,SEATING,994,Ray Fennell Sports Centre,PLAYERS BENCH,N/A,N/A,"(49.83241403992741, -97.16890968367866)",,,POINT,POINT (-97.168909683679 49.832414039927),,
877,ATHLETIC FIELD,954,St. Norbert C.C,SOCCER,MINI,No,"(49.76831597702143, -97.1531768276223)",,,POLYGON,,,"MULTIPOLYGON (((-97.15340189976 49.768420401947, -97.153179963128 49.76813639568, -97.152951755485 49.768209439141, -97.153174421712 49.768495558363, -97.15340189976 49.768420401947)))"
125574,SEATING,1220,St. James Memorial Sports Park,BENCH,N/A,N/A,"(49.889462406710216, -97.22205186822033)",,,POINT,POINT (-97.22205186822 49.88946240671),,
48144,SPORT COURT,392,Old Exhibition Athletic Grounds,PICKLEBALL,FULL COURT,Yes,"(49.91849639738089, -97.16116648240043)",,,POLYGON,,,"MULTIPOLYGON (((-97.161310936253 49.918423527921, -97.161172665085 49.918379862326, -97.161022028548 49.918570765111, -97.161159210134 49.918612932436, -97.161310936253 49.918423527921)))"
45411,STAND-ALONE PLAY COMPONENT,781,Ducharme Park,N/A,N/A,N/A,"(49.85367724475219, -97.0987837295416)",,,POINT,POINT (-97.098783729542 49.853677244752),,
22808,SEATING,662,Lindsey Wilson Park,BENCH,N/A,N/A,"(49.83092134859631, -97.06526206625199)",,,POINT,POINT (-97.065262066252 49.830921348596),,
